Id | Opportunity ID | id
Net_Total_Contract_Value__c | Net Total Contract Value | currency
Are_You_Using_a_Partner__c | Are You Using a Partner? | picklist
Include_in_2026_Partner_Recalculation__c | Include in 2026 Partner Recalculation | boolean
Total_ARR_Available_for_Renewal__c | Total ARR Available for Renewal | currency
Total_Net_ARR_Available_For_Renewal__c | Total Net ARR Available For Renewal | currency
Total_Partner_ARR_Available_For_Renewal__c | Total Partner ARR Available For Renewal | currency
Commissionable_Sales_Amount__c | Commissionable Sales Amount | currency
Commissionable_Renewal_Amount__c | Commissionable Renewal Amount | currency
Microsoft_Marketplace_Nomination_Status__c | Microsoft Marketplace Nomination Status | picklist
MS_Mkt_Status_Change_Date__c | MS Mkt Status Change Date | date
Net_Total_Non_Recurring_License__c | Net Total (Non-Recurring License) | currency
Referral_Partner_Custom_Account_id__c | Referral Partner Custom Account id | string
Partner_Accelerator_Plan__c | Partner Accelerator Plan | string
Customer_Total_Non_Recurring_License__c | Customer Total (Non-Recurring License) | currency
Partner_Total_Non_Recurring_License__c | Partner Total (Non-Recurring License) | currency
Referral_Partner_id_Attached__c | Referral Partner id (Attached) | string
